Loading raw data - Data: (9166, 120, 6) Labels: (9166, 120, 3)
Before normalization - Data shape: (9166, 120, 6) [-6.53186037e+00  1.09563701e+00  7.50957234e+00 -9.42993150e-03
 -8.63647463e-03 -1.58691408e-03]
After normalization - Data: (9166, 120, 6) Labels: (9166, 120, 3) [-0.66651636  0.1117997   0.76628289 -0.00942993 -0.00863647 -0.00158691]

Normalized Samples
[-0.61816811  0.1017263   0.81249097 -0.00270081  0.00247192 -0.00222778]
[-0.61558128  0.10407023  0.81467703 -0.00280762  0.00930786 -0.00340271]
[-0.61699007  0.10407024  0.81696024  0.00296021  0.01091003 -0.00820923]

Training Configurations:
INPUT_LEN: 85
PREDICT_LEN: 5
TRAIN_RATE: 0.8
BATCH_SIZE: 32
LEARNING_RATE: 0.0001
INITIAL_REMOVE: 20
WINDOW_SIZE: 5
THRESHOLD: 0.0275
MIN_ACTIVE: 5
Number of sequences: 9166
Min length: 5
Max length: 100
Mean length: 96.89
Median length: 100.0
Filtered data shapes:
Sequence 0: (100, 6)
Sequence 1: (100, 6)
Sequence 2: (100, 6)
Sequence 3: (100, 6)
Sequence 4: (100, 6)
Total NSP pairs: 91078
Input: torch.Size([85, 6]), Target: torch.Size([5, 6]), Input Pos: torch.Size([85]), Target Pos: torch.Size([5])
Input: torch.Size([85, 6]), Target: torch.Size([5, 6]), Input Pos: torch.Size([85]), Target Pos: torch.Size([5])
Input: torch.Size([85, 6]), Target: torch.Size([5, 6]), Input Pos: torch.Size([85]), Target Pos: torch.Size([5])
Total sequences: 9166
Total NSP pairs: 91078
Average NSP pairs per sequence: 9.94
Train NSP pairs: 72862
Val NSP pairs: 9108
Test NSP pairs: 9108
Epoch 1/200, Train Loss: 0.0610, Val Loss: 0.0420, Test Loss: 0.0401
Epoch 2/200, Train Loss: 0.0359, Val Loss: 0.0327, Test Loss: 0.0315
Epoch 3/200, Train Loss: 0.0294, Val Loss: 0.0294, Test Loss: 0.0277
Epoch 4/200, Train Loss: 0.0257, Val Loss: 0.0272, Test Loss: 0.0260
Epoch 5/200, Train Loss: 0.0234, Val Loss: 0.0245, Test Loss: 0.0233
Epoch 6/200, Train Loss: 0.0214, Val Loss: 0.0221, Test Loss: 0.0214
Epoch 7/200, Train Loss: 0.0199, Val Loss: 0.0213, Test Loss: 0.0204
Epoch 8/200, Train Loss: 0.0187, Val Loss: 0.0203, Test Loss: 0.0196
Epoch 9/200, Train Loss: 0.0174, Val Loss: 0.0193, Test Loss: 0.0184
Epoch 10/200, Train Loss: 0.0166, Val Loss: 0.0194, Test Loss: 0.0184
Epoch 11/200, Train Loss: 0.0157, Val Loss: 0.0180, Test Loss: 0.0177
Epoch 12/200, Train Loss: 0.0149, Val Loss: 0.0174, Test Loss: 0.0167
Epoch 13/200, Train Loss: 0.0142, Val Loss: 0.0175, Test Loss: 0.0172
Epoch 14/200, Train Loss: 0.0136, Val Loss: 0.0165, Test Loss: 0.0158
Epoch 15/200, Train Loss: 0.0129, Val Loss: 0.0159, Test Loss: 0.0153
Epoch 16/200, Train Loss: 0.0126, Val Loss: 0.0154, Test Loss: 0.0151
Epoch 17/200, Train Loss: 0.0120, Val Loss: 0.0152, Test Loss: 0.0148
Epoch 18/200, Train Loss: 0.0116, Val Loss: 0.0154, Test Loss: 0.0147
Epoch 19/200, Train Loss: 0.0111, Val Loss: 0.0146, Test Loss: 0.0143
Epoch 20/200, Train Loss: 0.0107, Val Loss: 0.0146, Test Loss: 0.0139
